Sexo	Comunidades y Ciudades Autónomas	Edad	Periodo	Total
Ambos sexos	Total Nacional	Total	2021T4	50,83
Ambos sexos	Total Nacional	Total	2021T3	50,52
Ambos sexos	Total Nacional	Total	2021T2	49,63
Ambos sexos	Total Nacional	Total	2021T1	48,47
Ambos sexos	Total Nacional	Total	2020T4	48,81
Ambos sexos	Total Nacional	Total	2020T3	48,43
Ambos sexos	Total Nacional	Total	2020T2	47,03
Ambos sexos	Total Nacional	Total	2020T1	49,80
Ambos sexos	Total Nacional	Total	2019T4	50,64
Ambos sexos	Total Nacional	Total	2019T3	50,54
Ambos sexos	Total Nacional	Total	2019T2	50,51
Ambos sexos	Total Nacional	Total	2019T1	49,78
Ambos sexos	Total Nacional	Total	2018T4	50,14
Ambos sexos	Total Nacional	Total	2018T3	50,18
Ambos sexos	Total Nacional	Total	2018T2	49,81
Ambos sexos	Total Nacional	Total	2018T1	48,67
Ambos sexos	Total Nacional	Total	2017T4	49,07
Ambos sexos	Total Nacional	Total	2017T3	49,27
Ambos sexos	Total Nacional	Total	2017T2	48,70
Ambos sexos	Total Nacional	Total	2017T1	47,76
Ambos sexos	Total Nacional	Total	2016T4	47,97
Ambos sexos	Total Nacional	Total	2016T3	48,07
Ambos sexos	Total Nacional	Total	2016T2	47,53
Ambos sexos	Total Nacional	Total	2016T1	46,84
Ambos sexos	Total Nacional	Total	2015T4	47,01
Ambos sexos	Total Nacional	Total	2015T3	46,90
Ambos sexos	Total Nacional	Total	2015T2	46,41
Ambos sexos	Total Nacional	Total	2015T1	45,32
Ambos sexos	Total Nacional	Total	2014T4	45,61
Ambos sexos	Total Nacional	Total	2014T3	45,44
Ambos sexos	Total Nacional	Total	2014T2	45,04
Ambos sexos	Total Nacional	Total	2014T1	44,05
Ambos sexos	Total Nacional	Total	2013T4	44,46
Ambos sexos	Total Nacional	Total	2013T3	44,64
Ambos sexos	Total Nacional	Total	2013T2	44,36
Ambos sexos	Total Nacional	Total	2013T1	43,97
Ambos sexos	Total Nacional	Total	2012T4	44,71
Ambos sexos	Total Nacional	Total	2012T3	45,54
Ambos sexos	Total Nacional	Total	2012T2	45,74
Ambos sexos	Total Nacional	Total	2012T1	45,72
Ambos sexos	Total Nacional	Total	2011T4	46,69
Ambos sexos	Total Nacional	Total	2011T3	47,58
Ambos sexos	Total Nacional	Total	2011T2	47,96
Ambos sexos	Total Nacional	Total	2011T1	47,48
Ambos sexos	Total Nacional	Total	2010T4	48,13
Ambos sexos	Total Nacional	Total	2010T3	48,54
Ambos sexos	Total Nacional	Total	2010T2	48,40
Ambos sexos	Total Nacional	Total	2010T1	48,17
Ambos sexos	Total Nacional	Total	2009T4	48,80
Ambos sexos	Total Nacional	Total	2009T3	49,39
Ambos sexos	Total Nacional	Total	2009T2	49,58
Ambos sexos	Total Nacional	Total	2009T1	49,97
Ambos sexos	Total Nacional	Total	2008T4	52,03
Ambos sexos	Total Nacional	Total	2008T3	53,47
Ambos sexos	Total Nacional	Total	2008T2	53,85
Ambos sexos	Total Nacional	Total	2008T1	53,94
Ambos sexos	Total Nacional	Total	2007T4	54,38
Ambos sexos	Total Nacional	Total	2007T3	54,73
Ambos sexos	Total Nacional	Total	2007T2	54,53
Ambos sexos	Total Nacional	Total	2007T1	53,94
Ambos sexos	Total Nacional	Total	2006T4	54,01
Ambos sexos	Total Nacional	Total	2006T3	53,99
Ambos sexos	Total Nacional	Total	2006T2	53,68
Ambos sexos	Total Nacional	Total	2006T1	53,03
Ambos sexos	Total Nacional	Total	2005T4	53,02
Ambos sexos	Total Nacional	Total	2005T3	52,99
Ambos sexos	Total Nacional	Total	2005T2	52,47
Ambos sexos	Total Nacional	Total	2005T1	51,54
Ambos sexos	Total Nacional	Total	2004T4	51,10
Ambos sexos	Total Nacional	Total	2004T3	50,82
Ambos sexos	Total Nacional	Total	2004T2	50,28
Ambos sexos	Total Nacional	Total	2004T1	49,77
Ambos sexos	Total Nacional	Total	2003T4	49,86
Ambos sexos	Total Nacional	Total	2003T3	49,80
Ambos sexos	Total Nacional	Total	2003T2	49,37
Ambos sexos	Total Nacional	Total	2003T1	48,65
Ambos sexos	Total Nacional	Total	2002T4	48,57
Ambos sexos	Total Nacional	Total	2002T3	48,61
Ambos sexos	Total Nacional	Total	2002T2	48,40
Ambos sexos	Total Nacional	Total	2002T1	47,82
Ambos sexos	Total Nacional	Menores de 25 años	2021T4	23,48
Ambos sexos	Total Nacional	Menores de 25 años	2021T3	26,70
Ambos sexos	Total Nacional	Menores de 25 años	2021T2	22,16
Ambos sexos	Total Nacional	Menores de 25 años	2021T1	19,60
Ambos sexos	Total Nacional	Menores de 25 años	2020T4	19,84
Ambos sexos	Total Nacional	Menores de 25 años	2020T3	21,37
Ambos sexos	Total Nacional	Menores de 25 años	2020T2	18,20
Ambos sexos	Total Nacional	Menores de 25 años	2020T1	23,22
Ambos sexos	Total Nacional	Menores de 25 años	2019T4	24,97
Ambos sexos	Total Nacional	Menores de 25 años	2019T3	27,03
Ambos sexos	Total Nacional	Menores de 25 años	2019T2	24,55
