Sexo	Comunidades y Ciudades Autónomas	Edad	Periodo	Total
Ambos sexos	Total Nacional	Total	2021T4	13,33
Ambos sexos	Total Nacional	Total	2021T3	14,57
Ambos sexos	Total Nacional	Total	2021T2	15,26
Ambos sexos	Total Nacional	Total	2021T1	15,98
Ambos sexos	Total Nacional	Total	2020T4	16,13
Ambos sexos	Total Nacional	Total	2020T3	16,26
Ambos sexos	Total Nacional	Total	2020T2	15,33
Ambos sexos	Total Nacional	Total	2020T1	14,41
Ambos sexos	Total Nacional	Total	2019T4	13,78
Ambos sexos	Total Nacional	Total	2019T3	13,92
Ambos sexos	Total Nacional	Total	2019T2	14,02
Ambos sexos	Total Nacional	Total	2019T1	14,70
Ambos sexos	Total Nacional	Total	2018T4	14,45
Ambos sexos	Total Nacional	Total	2018T3	14,55
Ambos sexos	Total Nacional	Total	2018T2	15,28
Ambos sexos	Total Nacional	Total	2018T1	16,74
Ambos sexos	Total Nacional	Total	2017T4	16,55
Ambos sexos	Total Nacional	Total	2017T3	16,38
Ambos sexos	Total Nacional	Total	2017T2	17,22
Ambos sexos	Total Nacional	Total	2017T1	18,75
Ambos sexos	Total Nacional	Total	2016T4	18,63
Ambos sexos	Total Nacional	Total	2016T3	18,91
Ambos sexos	Total Nacional	Total	2016T2	20,00
Ambos sexos	Total Nacional	Total	2016T1	21,00
Ambos sexos	Total Nacional	Total	2015T4	20,90
Ambos sexos	Total Nacional	Total	2015T3	21,18
Ambos sexos	Total Nacional	Total	2015T2	22,37
Ambos sexos	Total Nacional	Total	2015T1	23,78
Ambos sexos	Total Nacional	Total	2014T4	23,70
Ambos sexos	Total Nacional	Total	2014T3	23,67
Ambos sexos	Total Nacional	Total	2014T2	24,47
Ambos sexos	Total Nacional	Total	2014T1	25,93
Ambos sexos	Total Nacional	Total	2013T4	25,73
Ambos sexos	Total Nacional	Total	2013T3	25,65
Ambos sexos	Total Nacional	Total	2013T2	26,06
Ambos sexos	Total Nacional	Total	2013T1	26,94
Ambos sexos	Total Nacional	Total	2012T4	25,77
Ambos sexos	Total Nacional	Total	2012T3	24,79
Ambos sexos	Total Nacional	Total	2012T2	24,40
Ambos sexos	Total Nacional	Total	2012T1	24,19
Ambos sexos	Total Nacional	Total	2011T4	22,56
Ambos sexos	Total Nacional	Total	2011T3	21,28
Ambos sexos	Total Nacional	Total	2011T2	20,64
Ambos sexos	Total Nacional	Total	2011T1	21,08
Ambos sexos	Total Nacional	Total	2010T4	20,11
Ambos sexos	Total Nacional	Total	2010T3	19,59
Ambos sexos	Total Nacional	Total	2010T2	19,89
Ambos sexos	Total Nacional	Total	2010T1	19,84
Ambos sexos	Total Nacional	Total	2009T4	18,66
Ambos sexos	Total Nacional	Total	2009T3	17,75
Ambos sexos	Total Nacional	Total	2009T2	17,77
Ambos sexos	Total Nacional	Total	2009T1	17,24
Ambos sexos	Total Nacional	Total	2008T4	13,79
Ambos sexos	Total Nacional	Total	2008T3	11,23
Ambos sexos	Total Nacional	Total	2008T2	10,36
Ambos sexos	Total Nacional	Total	2008T1	9,60
Ambos sexos	Total Nacional	Total	2007T4	8,57
Ambos sexos	Total Nacional	Total	2007T3	8,01
Ambos sexos	Total Nacional	Total	2007T2	7,93
Ambos sexos	Total Nacional	Total	2007T1	8,42
Ambos sexos	Total Nacional	Total	2006T4	8,26
Ambos sexos	Total Nacional	Total	2006T3	8,08
Ambos sexos	Total Nacional	Total	2006T2	8,44
Ambos sexos	Total Nacional	Total	2006T1	9,03
